restaurant name,cuisine
Kandeel,Asian
Kandeel,
Soi Kitchen,Chinese
Soi Kitchen,Indian
Soi Kitchen,Asian
Taste of Malabar,Indian
Taste of Malabar,Asian
Taste of Malabar,
Savoury Restaurant,Indian
Savoury Restaurant,Middle Eastern
Savoury Restaurant,Arabic
Hazuka,Chinese
Hazuka,Asian
Hazuka,
Say Cheese,Fast Food
Say Cheese,Pizza
Say Cheese,Vegetarian Friendly
The Bar Terminal,Italian
The Bar Terminal,Indian
The Bar Terminal,Pizza
Spices & Flavours,Italian
Spices & Flavours,Chinese
Spices & Flavours,Indian
Apoorva,Indian
Apoorva,Seafood
Apoorva,Asian
Costa Coffee,Cafe
Costa Coffee,
Costa Coffee,
99 Pancakes,Vegetarian Friendly
99 Pancakes,
99 Pancakes,
Food For Thought,Cafe
Food For Thought,Italian
Food For Thought,Indian
The Ghetto Restaurant,Indian
The Ghetto Restaurant,
The Ghetto Restaurant,
Cafe Moshe's,Cafe
Cafe Moshe's,
Cafe Moshe's,
Vicinia,Italian
Vicinia,French
Vicinia,Mediterranean
Ministry of salads,Vegetarian Friendly
Ministry of salads,
Ministry of salads,
Chicken Centre,Chinese
Chicken Centre,
Chicken Centre,
Francesco's Pizzeria,Italian
Francesco's Pizzeria,Pizza
Francesco's Pizzeria,Vegetarian Friendly
Bombay Blues Restaurant,
Bombay Blues Restaurant,
Bombay Blues Restaurant,
Sushi & More,Japanese
Sushi & More,Sushi
Sushi & More,Asian
Chcolateria San Churro,Dessert
Chcolateria San Churro,
Chcolateria San Churro,
The 29,Indian
The 29,Vegetarian Friendly
The 29,Vegan Options
Right Place,Indian
Right Place,Fast Food
Right Place,
Shobha,Indian
Shobha,Fast Food
Shobha,Vegetarian Friendly
Thambi Veg Restaurant,Indian
Thambi Veg Restaurant,Vegetarian Friendly
Thambi Veg Restaurant,Vegan Options
The Lush,Chinese
The Lush,International
The Lush,Vegetarian Friendly
MRP,Asian
MRP,Chinese
MRP,
Cafe Coffee Day,Cafe
Cafe Coffee Day,
Cafe Coffee Day,
Jyoti Veg Diet,Indian
Jyoti Veg Diet,Asian
Jyoti Veg Diet,
DP's Fast Food,Indian
DP's Fast Food,Fast Food
DP's Fast Food,Asian
Sharda Bhavan,Indian
Sharda Bhavan,Vegetarian Friendly
Sharda Bhavan,Vegan Options
Cafe Coffee Day,Cafe
Cafe Coffee Day,
Cafe Coffee Day,
Hotel Rishi Restaurant,Indian
Hotel Rishi Restaurant,
Hotel Rishi Restaurant,
Pankaj Juice Centre,Dessert
Pankaj Juice Centre,Fast Food
Pankaj Juice Centre,Chinese
Grandmama's Cafe,Italian
Grandmama's Cafe,Indian
Grandmama's Cafe,Pizza
The Boston Butt,American
The Boston Butt,
The Boston Butt,
Kailash Mandir Lassi and Sweets,Dessert
Kailash Mandir Lassi and Sweets,Indian
Kailash Mandir Lassi and Sweets,Fast Food
Pritam Da Dhaba,Indian
Pritam Da Dhaba,Vegetarian Friendly
Pritam Da Dhaba,Vegan Options
Cafe Gulshan,Indian
Cafe Gulshan,Asian
Cafe Gulshan,Chinese
